product_id,invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,product_group,product_name,stock
,542216,22167, OVAL WALL MIRROR DIAMANTE ,2,1/26/2024 12:29,9.95,14911,,,
TW210,540976,22900, SET 2 TEA TOWELS I LOVE LONDON ,6,1/12/2024 15:00,2.95,12652,CLOTH,TOWELS,294
TW210,541877,22900, SET 2 TEA TOWELS I LOVE LONDON ,6,1/24/2024 10:12,2.95,12559,CLOTH,TOWELS,288
PEN209,540365,22418,10 COLOUR SPACEBOY PEN,24,1/6/2024 16:12,0.85,12413,STATIONERY,PEN,2952
PEN209,540835,22418,10 COLOUR SPACEBOY PEN,24,1/11/2024 15:00,0.85,12724,STATIONERY,PEN,2928
PEN209,541138,22418,10 COLOUR SPACEBOY PEN,24,1/14/2024 10:42,0.85,12553,STATIONERY,PEN,2904
PEN209,541965,22418,10 COLOUR SPACEBOY PEN,24,1/24/2024 13:27,0.85,12625,STATIONERY,PEN,2880
,542269,22436,12 COLOURED PARTY BALLOONS,20,1/27/2024 9:33,0.65,14442,,,
,540458,21447,12 IVORY ROSE PEG PLACE SETTINGS,12,1/7/2024 12:28,1.25,12501,,,
PEN209,540178,20973,12 PENCIL SMALL TUBE WOODLAND,24,1/5/2024 12:42,0.65,12681,STATIONERY,PEN,4704
PEN209,541138,20973,12 PENCIL SMALL TUBE WOODLAND,24,1/14/2024 10:42,0.65,12553,STATIONERY,PEN,4680
PEN209,540178,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,1/5/2024 12:42,0.65,12681,STATIONERY,PEN,3602
PEN209,541120,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,1/14/2024 9:13,0.65,12490,STATIONERY,PEN,3578
PEN209,541277,20975,12 PENCILS SMALL TUBE RED RETROSPOT,10,1/17/2024 11:46,0.65,12673,STATIONERY,PEN,3568
PEN209,541277,20974,12 PENCILS SMALL TUBE SKULL,10,1/17/2024 11:46,0.65,12673,STATIONERY,PEN,2466
,540458,21446,12 RED ROSE PEG PLACE SETTINGS,12,1/7/2024 12:28,1.25,12501,,,
,C540243,22316,200 BENDY SKULL STRAWS,-1,1/5/2024 15:32,1.25,12585,,,
HH222,540700,22244,3 HOOK HANGER MAGIC GARDEN,12,1/11/2024 9:47,1.95,12393,UTENSIL,HOOK HANGER,359
HH222,541631,22244,3 HOOK HANGER MAGIC GARDEN,12,1/20/2024 10:47,1.95,12637,UTENSIL,HOOK HANGER,347
HH222,542369,22244,3 HOOK HANGER MAGIC GARDEN,12,1/27/2024 13:08,1.95,12645,UTENSIL,HOOK HANGER,335
,C540158,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,-2,1/5/2024 11:42,2.1,12471,,,
,541120,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,1/14/2024 9:13,2.1,12490,,,
,541269,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,1/17/2024 11:01,2.1,12626,,,
,541277,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12,1/17/2024 11:46,2.1,12673,,,
,542433,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,1/28/2024 10:45,2.1,12726,,,
CK227,541220,22838,3 TIER CAKE TIN RED AND CREAM,96,1/14/2024 14:11,12.75,14156,KITCHENWARE,CAKE CASE,450
,540971,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,1/12/2024 14:10,2.1,12383,,,
,542278,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,1/27/2024 10:43,2.1,14911,,,
,542433,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,1/28/2024 10:45,2.1,12726,,,
,541670,22965,3 TRADITIONAL COOKIE CUTTERS  SET,144,1/20/2024 12:34,1.85,14911,,,
CD537,C540164,72815,3 WICK CHRISTMAS BRIAR CANDLE ,-4,1/5/2024 12:02,3.75,14911,ACCESSORIES,CANDLES,8
CK227,540480,22956,36 FOIL HEART CAKE CASES,12,1/7/2024 15:27,2.1,12480,KITCHENWARE,CAKE CASE,586
PEN209,540458,20979,36 PENCILS TUBE RED RETROSPOT,16,1/7/2024 12:28,1.25,12501,STATIONERY,PEN,7384
PEN209,540458,20978,36 PENCILS TUBE SKULLS,16,1/7/2024 12:28,1.25,12501,STATIONERY,PEN,7000
PEN209,540458,20977,36 PENCILS TUBE WOODLAND,16,1/7/2024 12:28,1.25,12501,STATIONERY,PEN,6070
CD537,540547,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,6,1/9/2024 16:07,2.55,14911,ACCESSORIES,CANDLES,300
CD537,541932,21615,4 LAVENDER BOTANICAL DINNER CANDLES,48,1/24/2024 11:39,1.25,14439,ACCESSORIES,CANDLES,210
CD537,540547,21617,4 LILY  BOTANICAL DINNER CANDLES,6,1/9/2024 16:07,3.75,14911,ACCESSORIES,CANDLES,99
CD537,541932,21616,4 PEAR BOTANICAL DINNER CANDLES,48,1/24/2024 11:39,1.25,14439,ACCESSORIES,CANDLES,500
CD537,541857,72800C,4 PINK DINNER CANDLE SILVER FLOCK,6,1/23/2024 15:17,2.55,12727,ACCESSORIES,CANDLES,330
,540178,22620,4 TRADITIONAL SPINNING TOPS,12,1/5/2024 12:42,1.25,12681,,,
,540267,22620,4 TRADITIONAL SPINNING TOPS,160,1/6/2024 11:12,1.06,12415,,,
,541277,22620,4 TRADITIONAL SPINNING TOPS,8,1/17/2024 11:46,1.25,12673,,,
,542535,22620,4 TRADITIONAL SPINNING TOPS,12,1/28/2024 13:37,1.25,12735,,,
,542629,22620,4 TRADITIONAL SPINNING TOPS,24,1/31/2024 9:57,1.25,12731,,,
,542735,22620,4 TRADITIONAL SPINNING TOPS,12,1/31/2024 15:36,1.25,12681,,,
HH222,541631,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,1/20/2024 10:47,1.65,12637,UTENSIL,HOOK HANGER,416
HH222,541965,22242,5 HOOK HANGER MAGIC TOADSTOOL,24,1/24/2024 13:27,1.65,12625,UTENSIL,HOOK HANGER,392
