product_id,invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,product_group,product_name,stock
TW210,547892,22900, SET 2 TEA TOWELS I LOVE LONDON ,6,3/28/2024 10:15,2.95,12669,CLOTH,TOWELS,264
TW210,548496,22900, SET 2 TEA TOWELS I LOVE LONDON ,72,3/31/2024 13:40,3.25,12678,CLOTH,TOWELS,192
,546213,23007, SPACEBOY BABY GIFT SET,36,3/10/2024 11:37,14.95,14156,,,
,546252,23007, SPACEBOY BABY GIFT SET,3,3/10/2024 14:42,16.95,14930,,,
,546373,23007, SPACEBOY BABY GIFT SET,6,3/11/2024 12:00,14.95,12583,,,
,546569,23007, SPACEBOY BABY GIFT SET,12,3/15/2024 10:53,14.95,14016,,,
,546780,23007, SPACEBOY BABY GIFT SET,24,3/17/2024 7:40,14.95,12435,,,
,547005,23007, SPACEBOY BABY GIFT SET,1,3/18/2024 14:20,16.95,12474,,,
,547109,23007, SPACEBOY BABY GIFT SET,1,3/21/2024 11:46,16.95,12423,,,
,547520,23007, SPACEBOY BABY GIFT SET,2,3/23/2024 14:55,16.95,12564,,,
,547684,23007, SPACEBOY BABY GIFT SET,3,3/24/2024 14:46,16.95,12408,,,
,548410,23007, SPACEBOY BABY GIFT SET,6,3/31/2024 10:29,14.95,12731,,,
PEN209,546212,22418,10 COLOUR SPACEBOY PEN,72,3/10/2024 11:33,0.85,14156,STATIONERY,PEN,2784
PEN209,546365,22418,10 COLOUR SPACEBOY PEN,24,3/11/2024 11:35,0.85,12520,STATIONERY,PEN,2760
,546678,22436,12 COLOURED PARTY BALLOONS,20,3/15/2024 16:39,0.65,12681,,,
,547504,22436,12 COLOURED PARTY BALLOONS,20,3/23/2024 13:33,0.65,12683,,,
PNT224,546917,22282,12 EGG HOUSE PAINTED WOOD,2,3/18/2024 9:17,12.75,14911,STATIONERY,PAINT,1998
PEN209,547722,20973,12 PENCIL SMALL TUBE WOODLAND,24,3/25/2024 10:19,0.65,12553,STATIONERY,PEN,4128
PEN209,547659,20984,12 PENCILS TALL TUBE POSY,12,3/24/2024 13:05,0.85,12434,STATIONERY,PEN,2700
PEN209,547383,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,3/22/2024 15:42,0.85,12613,STATIONERY,PEN,3972
PEN209,547659,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,3/24/2024 13:05,0.85,12434,STATIONERY,PEN,3960
PEN209,547383,20982,12 PENCILS TALL TUBE SKULLS,12,3/22/2024 15:42,0.85,12613,STATIONERY,PEN,888
PEN209,547383,20981,12 PENCILS TALL TUBE WOODLAND,12,3/22/2024 15:42,0.85,12613,STATIONERY,PEN,1764
,546365,84461,12 PINK HEN+CHICKS IN BASKET,6,3/11/2024 11:35,2.55,12520,,,
,C546886,84461,12 PINK HEN+CHICKS IN BASKET,-6,3/17/2024 18:13,2.55,12520,,,
,545295,22567,20 DOLLY PEGS RETROSPOT,20,3/1/2024 12:09,1.25,12709,,,
,546172,22567,20 DOLLY PEGS RETROSPOT,12,3/10/2024 10:32,1.25,14156,,,
,546479,22567,20 DOLLY PEGS RETROSPOT,12,3/14/2024 11:38,1.25,12682,,,
BXS229,545226,85034A,3 GARDENIA MORRIS BOXED CANDLES,4,3/1/2024 9:33,4.25,12428,BOX,BOXES,5
HH222,546843,22244,3 HOOK HANGER MAGIC GARDEN,12,3/17/2024 12:40,1.95,12472,UTENSIL,HOOK HANGER,275
HH222,545706,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4,3/7/2024 9:10,8.5,12712,UTENSIL,HOOK HANGER,79
HH222,C546507,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4,3/14/2024 11:47,8.5,12712,UTENSIL,HOOK HANGER,75
HH222,546759,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8,3/16/2024 13:58,8.5,12712,UTENSIL,HOOK HANGER,67
,546520,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,3/14/2024 12:28,2.1,14911,,,
,547492,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,3/23/2024 12:06,2.1,12604,,,
FC221,546091,22150,3 STRIPEY MICE FELTCRAFT,6,3/9/2024 11:53,1.95,14936,ACCESSORIES,FELTCRAFT,857
CK227,545475,22839,3 TIER CAKE TIN GREEN AND CREAM,32,3/3/2024 10:59,12.75,12415,KITCHENWARE,CAKE CASE,512
CK227,546212,22839,3 TIER CAKE TIN GREEN AND CREAM,16,3/10/2024 11:33,12.75,14156,KITCHENWARE,CAKE CASE,496
CK227,545320,22838,3 TIER CAKE TIN RED AND CREAM,96,3/1/2024 14:47,12.75,14156,KITCHENWARE,CAKE CASE,240
CK227,545475,22838,3 TIER CAKE TIN RED AND CREAM,20,3/3/2024 10:59,14.95,12415,KITCHENWARE,CAKE CASE,220
CK227,545916,22838,3 TIER CAKE TIN RED AND CREAM,1,3/8/2024 11:46,14.95,12528,KITCHENWARE,CAKE CASE,219
,546520,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,3/14/2024 12:28,2.1,14911,,,
,546660,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,12,3/15/2024 14:32,2.1,14156,,,
,547061,22949,36 DOILIES DOLLY GIRL,12,3/20/2024 13:21,1.45,12407,,,
,547892,22949,36 DOILIES DOLLY GIRL,12,3/28/2024 10:15,1.45,12669,,,
CK227,546091,22956,36 FOIL HEART CAKE CASES,6,3/9/2024 11:53,2.1,14936,KITCHENWARE,CAKE CASE,552
CK227,546091,22955,36 FOIL STAR CAKE CASES ,6,3/9/2024 11:53,2.1,14936,KITCHENWARE,CAKE CASE,200
PEN209,545227,20979,36 PENCILS TUBE RED RETROSPOT,16,3/1/2024 9:35,1.25,12428,STATIONERY,PEN,7368
PEN209,545295,20979,36 PENCILS TUBE RED RETROSPOT,48,3/1/2024 12:09,1.25,12709,STATIONERY,PEN,7320
PEN209,545301,20979,36 PENCILS TUBE RED RETROSPOT,16,3/1/2024 12:26,1.25,12679,STATIONERY,PEN,7304
PEN209,545301,20977,36 PENCILS TUBE WOODLAND,16,3/1/2024 12:26,1.25,12679,STATIONERY,PEN,6054
PEN209,545988,20977,36 PENCILS TUBE WOODLAND,16,3/8/2024 12:52,1.25,12662,STATIONERY,PEN,6038
